rank,name,country,avg
1,Joe Root,England,50.62
2,Kane Williamson,New Zealand,54.83
3,Daryl Mitchell,New Zealand,49.21
4,Steven Smith,Australia,56.97
5,Rohit Sharma,India,44.61
6,Yashasvi Jaiswal,India,64.35
7,Virat Kohli,India,48.74
8,Usman Khawaja,Australia,45.42
9,Mohammad Rizwan,Pakistan,44.42
9,Marnus Labuschagne,Australia,49.57
11,Babar Azam,Pakistan,44.52
12,Harry Brook,England,53.72
13,Dhananjaya de Silva,Sri Lanka,39.56
14,Travis Head,Australia,41.75
15,Litton Das,Bangladesh,35.71
